SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,ColReinstatement,SceneReinstatement,EmotionResponse,EmotionRT,EmotionCorrect,EmotionConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,onsetRemember,onsetEmotion,onsetColor,onsetScene,EmotionMemory,ColorCorrect,SceneCorrect,ColorQuality,SceneQuality,MemoryQuantity,MemoryQuality
2,23,1,1,Negative,1,50,4,234,339,1,2,291,111,57,132,3,1.076759102,0,0,198,4.818727642,336,5.970898356,-36,-3,36,3,161.0115025,188.5106693,192.5103858,195.5104055,202.5101783,0,1,1,0.294117647,0.909090909,2,1.203208556
2,14,2,1,Negative,2,138,2,30,177,2,1,297,183,93,6,-1,-1,0,-1,42,4.198220607,189,4.150064672,12,12,12,12,98.01351902,210.0099435,214.0098173,224.0094915,217.0097208,0,1,1,0.764705882,0.636363636,2,1.401069519
2,18,3,1,Negative,5,107,6,21,108,2,1,285,72,96,36,3,1.110289857,0,0,285,0.538673084,72,5.234473662,-96,-36,96,36,126.012629,231.5092554,235.5091284,245.5088058,238.5090302,0,0,0,0,0,0,0
2,20,4,1,Neutral,11,136,2,213,96,2,1,249,141,36,45,2,1.208257214,0,0,285,5.518980037,93,-1,72,-3,72,3,140.0121797,253.0085721,257.2584388,267.0081306,260.0083448,0,0,1,0,0.909090909,1,0.909090909
2,10,5,1,Negative,3,82,6,138,261,1,2,285,303,147,42,1,1.254396315,1,1,282,-1,276,5.964367427,144,15,144,15,70.01443333,274.5078891,278.5077717,281.5076615,288.5074391,1,0,1,0,0.545454545,2,1.545454545
2,4,6,1,Neutral,7,3,6,312,312,1,2,291,27,21,75,3,1.987761882,1,0,294,4.967654792,249,-1,-18,-63,18,63,28.01576648,296.0072006,300.0070784,303.006985,310.0067581,0.5,1,0,0.647058824,0,2,1.147058824
2,11,7,1,Negative,4,27,3,210,282,1,2,354,93,144,171,-1,-1,0,-1,240,-1,303,4.813190074,30,21,30,21,77.28084877,317.5065196,321.5063965,324.5062945,331.5060762,0,1,1,0.411764706,0.363636364,2,0.77540107
2,22,8,1,Negative,4,104,1,333,57,1,2,219,72,114,15,2,0.283949743,1,0,309,5.36842717,63,2.993688171,-24,6,24,6,154.6950358,339.0058373,343.0057117,346.0056214,353.0053932,0.5,1,1,0.529411765,0.818181818,3,1.847593583
2,9,9,1,Neutral,10,47,3,90,345,2,1,156,102,66,117,4,0.872341074,1,1,225,-1,93,5.909778428,135,108,135,108,63.01463625,360.5051666,364.5050318,374.5047126,367.504935,1,0,0,0,0,1,1
2,7,10,1,Negative,6,19,3,342,78,2,1,129,30,147,48,-1,-1,0,-1,345,4.7693768,84,3.415278356,3,6,3,6,50.19838065,382.0044754,386.0210163,396.0040279,389.0042547,0,1,1,0.941176471,0.818181818,2,1.759358289
